Person_type,Colour,Height,Age,Gender,Head,Torso,Legs,Feet,Accessories,Blood,Armed,Banners,Type,x_min,y_min,x_max,y_max,Actions
Law Officer,Native,1.80,32,M,Cap|face mask,Jacket,N.I,N.I,None,No,Gun,None,Seated,51,6,392,705,Idle
Delinquent ,White,1.73,21,M,None|face mask,T-shirt,N.I,N.I,None,No,No,None,Moving,426,92,623,718,Idle
Law Officer,Native,1.72,44,M,Cap|face mask,Shirt,N.I,N.I,None,No,Gun,None,Moving,646,129,926,720,Idle
Law Officer,White,1.73,55,M,Face mask,T-shirt,N.I,N.I,None,No,No,None,Standing,316,83,646,720,Idle
Viewer,White,1.75,57,M,Face mask,T-shirt,N.I,N.I,None,No,No,None,Standing,699,69,1095,720,Idle
Viewer,Native,1.69,26,F,Face mask,T-shirt,Shorts,N.I,None,No,No,None,Seated,510,105,900,720,Idle
Viewer,Native,1.70,38,M,Cap|face mask,T-shirt,Shorts,N.I,None,No,No,None,Seated,623,128,841,720,Idle
Law Officer,White,1.74,50,M,Face mask,Jacket,Pants,Sneakers,None,No,No,None,Standing,315,210,380,392,Idle
Viewer,White,1.76,52,M,Face mask,T-shirt,Pants,Sneakers,None,No,No,None,Standing,368,205,440,392,Idle
Viewer,N.I,1.70,28,F,Helmet|face mask,Protective suit,Protective pants,Boots,None,No,No,None,Standing,458,187,557,506,Idle
Viewer,N.I,1.75,29,M,Helmet|face mask,Protective suit,Protective pants,Boots,None,No,No,None,Standing,550,170,662,490,Idle
Viewer,N.I,1.73,25,M,Helmet|cap|face mask,Protective suit,Protective pants,Boots,None,No,No,None,Standing,634,178,676,405,Idle
Viewer,N.I,1.73,32,M,Helmet,Protective suit,Protective pants,Boots,None,No,No,None,Standing,665,203,739,421,Idle
Viewer,Native,1.77,29,M,Face mask,Jacket,Pants,Sneakers,None,No,No,None,Standing,776,157,864,457,Idle
Viewer,White,1.68,35,F,Face mask,Jacket,Jeans,Sneakers,None,No,No,None,Standing,856,193,928,431,Idle
Viewer,N.I,1.74,N.I,M,Helmet,Protective suit,Protective pants,Boots,None,No,No,None,Standing,885,159,974,409,Idle
Viewer,White,1.75,52,M,Face mask,T-shirt,Jeans,N.I,None,No,No,None,Moving,294,40,536,720,Idle
Viewer,White,1.70,46,M,Face mask,T-shirt,Jeans,N.I,None,No,No,None,Moving,158,134,485,720,Idle
Law Officer,Native,1.71,32,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Moving,894,90,1151,720,Idle
Viewer,Native,1.72,30,M,Face mask,T-shirt,Shorts,N.I,None,No,No,None,Standing,221,336,355,720,Idle
Viewer,Native,1.70,42,M,Cap|face mask,T-shirt,Shorts,N.I,None,No,No,None,Standing,345,113,638,720,Idle
Viewer,Native,1.68,26,F,Face mask,T-shirt,Shorts,N.I,None,No,No,None,Standing,594,131,885,720,Idle
Law Officer,Native,1.70,50,M,Face mask,Jacket,N.I,N.I,None,No,No,None,Standing,954,2,1279,720,Carrying
Law Officer,Black,1.71,26,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Crouched,392,222,663,599,Carrying
Law Officer,Native,1.75,50,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Moving,564,122,696,582,Carrying
Viewer,Native,1.70,29,M,Face mask,T-shirt,Pants,N.I,None,No,No,None,Crouched,668,240,899,601,Carrying
Viewer,White,1.68,33,M,Face mask,T-shirt,Jeans,N.I,None,No,No,None,Moving,803,151,1059,561,Carrying
Law Officer,Native,1.67,46,M,Face mask,Jacket,Pants,Shoes,None,No,No,None,Standing,169,172,399,720,Carrying
Law Officer,White,1.70,32,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Standing,460,159,688,720,Carrying
Viewer,White,N.I,47,M,Face mask,T-shirt,Jeans,Sneakers,None,No,No,None,Standing,592,124,748,427,Carrying
Viewer,White,1.73,30,M,Face mask,T-shirt,Jeans,Sneakers,None,No,No,None,Crouched,707,183,919,720,Carrying
Law Officer,Native,1.70,40,M,Face mask,Jacket,Pants,N.I,None,No,No,None,Moving,1024,201,1234,720,Carrying
